Date,Open,High,Low,Close
7/13/09,1049.63,1060.00,1046.06,1061.95
7/14/09,1042.96,1049.76,1042.96,1045.56
7/15/09,1034.41,1047.88,1033.74,1045.77
7/16/09,1048.49,1048.49,1044.47,1044.80
7/17/09,1043.20,1044.20,1037.52,1043.54
7/20/09,1056.00,1056.45,1052.46,1049.81
7/21/09,1046.90,1046.90,1043.81,1044.70
7/22/09,1043.88,1047.18,1040.80,1048.06
7/23/09,1040.23,1040.23,1035.43,1040.55
7/24/09,1032.71,1035.43,1032.71,1035.43
7/27/09,1032.54,1034.70,1031.24,1030.59
7/28/09,1025.82,1025.82,1012.86,1014.48
7/29/09,1011.45,1011.45,1011.45,1011.45
7/30/09,1006.50,1014.95,1005.63,1012.67
7/31/09,1007.22,1032.77,1004.64,1028.03
8/3/09,1015.02,1027.17,1014.81,1019.29
8/4/09,1025.62,1039.46,1019.41,1037.31
8/5/09,1035.42,1035.96,1027.07,1031.78
8/6/09,1039.12,1046.67,1030.93,1035.46
8/7/09,1042.71,1042.71,1032.22,1035.14
8/10/09,1039.17,1040.37,1026.66,1028.29
8/11/09,1043.06,1045.81,1038.54,1041.52
8/12/09,1031.12,1035.48,1026.23,1034.61
8/13/09,1035.32,1043.47,1035.00,1037.60
8/14/09,1054.52,1054.52,1037.67,1043.07
8/17/09,1043.51,1043.51,1025.99,1029.08
8/18/09,1033.93,1033.93,1030.51,1032.94
8/19/09,1031.09,1034.49,1021.90,1032.73
8/20/09,1026.34,1029.39,1023.29,1023.51
8/21/09,1034.71,1035.36,1029.95,1030.60
8/24/09,1026.59,1030.25,1013.46,1014.53
8/25/09,1028.70,1037.61,1025.65,1026.74
8/26/09,1040.18,1040.62,1032.28,1036.67
8/27/09,1026.64,1032.29,1025.23,1028.05
8/28/09,1036.24,1050.32,1034.93,1044.65
8/31/09,1050.01,1050.01,1033.92,1041.48
9/1/09,1053.43,1055.97,1047.36,1053.99
9/2/09,1054.49,1081.91,1054.49,1079.47
9/3/09,1078.63,1095.94,1078.63,1098.15
9/4/09,1080.20,1082.82,1072.48,1082.71
9/8/09,1076.96,1086.90,1072.11,1077.18
9/9/09,1081.14,1082.00,1066.90,1073.91
9/10/09,1073.38,1074.45,1063.79,1072.51
